SSID,Signal,Latitude,Longitude
AH,42,40.631066667,-8.658005
AH,42,40.631106667,-8.657991667
AH,42,40.631175,-8.658018333
AH,42,40.631228333,-8.658076667
AH,42,40.631271667,-8.65815
AH,42,40.631321667,-8.658205
AH,50,40.631391667,-8.658361667
AH,50,40.631416667,-8.65844
AH,50,40.631435,-8.6585
AH,50,40.631466667,-8.658575
AH,50,40.63151,-8.658651667
AH,50,40.631555,-8.658701667
AH,12,40.631676667,-8.658835
AH,12,40.631731667,-8.658891667
AH,12,40.631795,-8.658941667
AH,12,40.631836667,-8.659031667
AH,12,40.631883333,-8.659113333
AH,12,40.631935,-8.659168333
AH,12,40.632023333,-8.659303333
AH,12,40.632058333,-8.659353333
AH,12,40.632086667,-8.659423333
AH,12,40.632126667,-8.659475
AH,12,40.632153333,-8.659488333
AH,12,40.632211667,-8.659433333
