SSID,Signal,Latitude,Longitude
ALTICE_1B1C1C,20,40.631391667,-8.658361667
ALTICE_1B1C1C,20,40.631416667,-8.65844
ALTICE_1B1C1C,20,40.631435,-8.6585
ALTICE_1B1C1C,20,40.631466667,-8.658575
ALTICE_1B1C1C,20,40.63151,-8.658651667
ALTICE_1B1C1C,20,40.631555,-8.658701667
ALTICE_1B1C1C,20,40.631676667,-8.658835
ALTICE_1B1C1C,20,40.631731667,-8.658891667
ALTICE_1B1C1C,20,40.631795,-8.658941667
ALTICE_1B1C1C,20,40.631836667,-8.659031667
ALTICE_1B1C1C,20,40.631883333,-8.659113333
ALTICE_1B1C1C,20,40.631935,-8.659168333
