SSID,Signal,Latitude,Longitude
AndroidAPaac1,35,40.631596667,-8.65945
AndroidAPaac1,35,40.631656667,-8.659446667
AndroidAPaac1,35,40.631721667,-8.65947
AndroidAPaac1,35,40.63179,-8.659481667
AndroidAPaac1,20,40.631921667,-8.659493333
AndroidAPaac1,20,40.631976667,-8.659496667
AndroidAPaac1,30,40.632023333,-8.659303333
AndroidAPaac1,20,40.632028333,-8.659495
AndroidAPaac1,30,40.632058333,-8.659353333
AndroidAPaac1,30,40.632086667,-8.659423333
AndroidAPaac1,20,40.632096667,-8.659496667
AndroidAPaac1,30,40.632126667,-8.659475
AndroidAPaac1,20,40.632141667,-8.659506667
AndroidAPaac1,30,40.632153333,-8.659488333
AndroidAPaac1,20,40.632183333,-8.659561667
AndroidAPaac1,30,40.632211667,-8.659433333
AndroidAPaac1,30,40.632285,-8.659298333
AndroidAPaac1,30,40.632288333,-8.659286667
AndroidAPaac1,30,40.632356667,-8.65921
AndroidAPaac1,30,40.63241,-8.659248333
AndroidAPaac1,30,40.632486667,-8.659301667
AndroidAPaac1,30,40.632543333,-8.65936
