SSID,Signal,Latitude,Longitude
CUA,12,40.630776667,-8.658376667
CUA,12,40.630795,-8.658456667
CUA,12,40.630816667,-8.658288333
CUA,12,40.630861667,-8.65823
CUA,12,40.630868333,-8.658585
CUA,12,40.630905,-8.658175
CUA,12,40.630921667,-8.658643333
CUA,12,40.630945,-8.658115
CUA,12,40.630953333,-8.658718333
CUA,12,40.630978333,-8.658816667
CUA,12,40.631006667,-8.658866667
CUA,12,40.63103,-8.658946667
CUA,12,40.631596667,-8.65945
CUA,12,40.631656667,-8.659446667
CUA,12,40.631721667,-8.65947
CUA,12,40.63179,-8.659481667
CUA,10,40.631921667,-8.659493333
CUA,10,40.631976667,-8.659496667
CUA,10,40.632028333,-8.659495
CUA,10,40.632096667,-8.659496667
CUA,10,40.632141667,-8.659506667
CUA,10,40.632183333,-8.659561667
