SSID,Signal,Latitude,Longitude
Claro,63,40.630776667,-8.658376667
Claro,87,40.630795,-8.658456667
Claro,67,40.630816667,-8.658288333
Claro,55,40.63084,-8.65953
Claro,46,40.630858333,-8.659426667
Claro,62,40.630861667,-8.65823
Claro,62,40.630868333,-8.658585
Claro,53,40.630876667,-8.659335
Claro,58,40.630905,-8.659236667
Claro,66,40.630905,-8.658175
Claro,63,40.630921667,-8.658643333
Claro,54,40.630938333,-8.659166667
Claro,66,40.630945,-8.658115
Claro,61,40.630953333,-8.658718333
Claro,50,40.630965,-8.659073333
Claro,60,40.630978333,-8.658816667
Claro,61,40.631006667,-8.658866667
Claro,75,40.63103,-8.658946667
Claro,80,40.631066667,-8.658005
Claro,62,40.631106667,-8.657991667
Claro,62,40.631175,-8.658018333
Claro,61,40.631228333,-8.658076667
Claro,59,40.631271667,-8.65815
Claro,59,40.631321667,-8.658205
Claro,65,40.631391667,-8.658361667
Claro,62,40.631416667,-8.65844
Claro,66,40.631435,-8.6585
Claro,43,40.631466667,-8.658575
Claro,43,40.63151,-8.658651667
Claro,59,40.631555,-8.658701667
Claro,62,40.631596667,-8.65945
Claro,58,40.631656667,-8.659446667
Claro,82,40.631676667,-8.658835
Claro,59,40.631721667,-8.65947
Claro,60,40.631731667,-8.658891667
Claro,75,40.63179,-8.659481667
Claro,43,40.631795,-8.658941667
Claro,62,40.631836667,-8.659031667
Claro,62,40.631883333,-8.659113333
Claro,63,40.631921667,-8.659493333
Claro,57,40.631935,-8.659168333
Claro,63,40.631976667,-8.659496667
Claro,85,40.632023333,-8.659303333
Claro,63,40.632028333,-8.659495
Claro,66,40.632058333,-8.659353333
Claro,68,40.632086667,-8.659423333
Claro,63,40.632096667,-8.659496667
Claro,68,40.632126667,-8.659475
Claro,67,40.632141667,-8.659506667
Claro,59,40.632153333,-8.659488333
Claro,67,40.632183333,-8.659561667
Claro,65,40.632211667,-8.659433333
Claro,57,40.63222,-8.659731667
Claro,50,40.632265,-8.659788333
Claro,62,40.632283333,-8.659491667
Claro,58,40.632285,-8.659408333
Claro,70,40.632285,-8.659298333
Claro,62,40.632288333,-8.659286667
Claro,60,40.632333333,-8.659836667
Claro,66,40.632338333,-8.65941
Claro,53,40.632356667,-8.65921
Claro,84,40.632368333,-8.65967
Claro,63,40.632391667,-8.659821667
Claro,66,40.632403333,-8.659406667
Claro,53,40.63241,-8.659248333
Claro,65,40.632428333,-8.659666667
Claro,70,40.632453333,-8.659818333
Claro,65,40.632473333,-8.659688333
Claro,66,40.632481667,-8.659395
Claro,61,40.632486667,-8.659301667
Claro,70,40.632496667,-8.659841667
Claro,63,40.632525,-8.659746667
Claro,59,40.632543333,-8.65936
Claro,79,40.632545,-8.659455
