SSID,Signal,Latitude,Longitude
DIRECT-OJDAO-NB1008msJT,32,40.632283333,-8.659491667
DIRECT-OJDAO-NB1008msJT,32,40.632285,-8.659408333
DIRECT-OJDAO-NB1008msJT,32,40.632285,-8.659298333
DIRECT-OJDAO-NB1008msJT,32,40.632288333,-8.659286667
DIRECT-OJDAO-NB1008msJT,32,40.632338333,-8.65941
DIRECT-OJDAO-NB1008msJT,32,40.632356667,-8.65921
DIRECT-OJDAO-NB1008msJT,32,40.632403333,-8.659406667
DIRECT-OJDAO-NB1008msJT,32,40.63241,-8.659248333
DIRECT-OJDAO-NB1008msJT,32,40.632481667,-8.659395
DIRECT-OJDAO-NB1008msJT,32,40.632486667,-8.659301667
DIRECT-OJDAO-NB1008msJT,32,40.632543333,-8.65936
DIRECT-OJDAO-NB1008msJT,32,40.632545,-8.659455
