SSID,Signal,Latitude,Longitude
David's Galaxy A32,22,40.631066667,-8.658005
David's Galaxy A32,22,40.631106667,-8.657991667
David's Galaxy A32,22,40.631175,-8.658018333
David's Galaxy A32,22,40.631228333,-8.658076667
David's Galaxy A32,22,40.631271667,-8.65815
David's Galaxy A32,22,40.631321667,-8.658205
David's Galaxy A32,22,40.631391667,-8.658361667
David's Galaxy A32,22,40.631416667,-8.65844
David's Galaxy A32,22,40.631435,-8.6585
David's Galaxy A32,22,40.631466667,-8.658575
David's Galaxy A32,22,40.63151,-8.658651667
David's Galaxy A32,22,40.631555,-8.658701667
