SSID,Signal,Latitude,Longitude
Kalebe,32,40.631921667,-8.659493333
Kalebe,32,40.631976667,-8.659496667
Kalebe,32,40.632028333,-8.659495
Kalebe,32,40.632096667,-8.659496667
Kalebe,32,40.632141667,-8.659506667
Kalebe,32,40.632183333,-8.659561667
Kalebe,32,40.63222,-8.659731667
Kalebe,32,40.632265,-8.659788333
Kalebe,10,40.632283333,-8.659491667
Kalebe,10,40.632285,-8.659408333
Kalebe,32,40.632333333,-8.659836667
Kalebe,10,40.632338333,-8.65941
Kalebe,17,40.632368333,-8.65967
Kalebe,32,40.632391667,-8.659821667
Kalebe,10,40.632403333,-8.659406667
Kalebe,17,40.632428333,-8.659666667
Kalebe,32,40.632453333,-8.659818333
Kalebe,17,40.632473333,-8.659688333
Kalebe,10,40.632481667,-8.659395
Kalebe,32,40.632496667,-8.659841667
Kalebe,17,40.632525,-8.659746667
Kalebe,10,40.632545,-8.659455
