SSID,Signal,Latitude,Longitude
Kiosk-SAS,14,40.630776667,-8.658376667
Kiosk-SAS,14,40.630795,-8.658456667
Kiosk-SAS,14,40.630816667,-8.658288333
Kiosk-SAS,50,40.63084,-8.65953
Kiosk-SAS,50,40.630858333,-8.659426667
Kiosk-SAS,14,40.630861667,-8.65823
Kiosk-SAS,14,40.630868333,-8.658585
Kiosk-SAS,50,40.630876667,-8.659335
Kiosk-SAS,50,40.630905,-8.659236667
Kiosk-SAS,14,40.630905,-8.658175
Kiosk-SAS,14,40.630921667,-8.658643333
Kiosk-SAS,50,40.630938333,-8.659166667
Kiosk-SAS,14,40.630945,-8.658115
Kiosk-SAS,14,40.630953333,-8.658718333
Kiosk-SAS,50,40.630965,-8.659073333
Kiosk-SAS,14,40.630978333,-8.658816667
Kiosk-SAS,14,40.631006667,-8.658866667
Kiosk-SAS,14,40.63103,-8.658946667
