SSID,Signal,Latitude,Longitude
Lara,45,40.631066667,-8.658005
Lara,45,40.631106667,-8.657991667
Lara,45,40.631175,-8.658018333
Lara,45,40.631228333,-8.658076667
Lara,45,40.631271667,-8.65815
Lara,45,40.631321667,-8.658205
Lara,35,40.631391667,-8.658361667
Lara,35,40.631416667,-8.65844
Lara,35,40.631435,-8.6585
Lara,35,40.631466667,-8.658575
Lara,35,40.63151,-8.658651667
Lara,35,40.631555,-8.658701667
Lara,35,40.631676667,-8.658835
Lara,35,40.631731667,-8.658891667
Lara,35,40.631795,-8.658941667
Lara,35,40.631836667,-8.659031667
Lara,35,40.631883333,-8.659113333
Lara,35,40.631935,-8.659168333
