SSID,Signal,Latitude,Longitude
MEO-WiFi,12,40.630776667,-8.658376667
MEO-WiFi,12,40.630795,-8.658456667
MEO-WiFi,12,40.630816667,-8.658288333
MEO-WiFi,12,40.630861667,-8.65823
MEO-WiFi,12,40.630868333,-8.658585
MEO-WiFi,12,40.630905,-8.658175
MEO-WiFi,12,40.630921667,-8.658643333
MEO-WiFi,12,40.630945,-8.658115
MEO-WiFi,12,40.630953333,-8.658718333
MEO-WiFi,12,40.630978333,-8.658816667
MEO-WiFi,12,40.631006667,-8.658866667
MEO-WiFi,12,40.63103,-8.658946667
MEO-WiFi,12,40.631596667,-8.65945
MEO-WiFi,12,40.631656667,-8.659446667
MEO-WiFi,12,40.631721667,-8.65947
MEO-WiFi,12,40.63179,-8.659481667
MEO-WiFi,12,40.631921667,-8.659493333
MEO-WiFi,12,40.631976667,-8.659496667
MEO-WiFi,12,40.632028333,-8.659495
MEO-WiFi,12,40.632096667,-8.659496667
MEO-WiFi,12,40.632141667,-8.659506667
MEO-WiFi,12,40.632183333,-8.659561667
MEO-WiFi,12,40.63222,-8.659731667
MEO-WiFi,12,40.632265,-8.659788333
MEO-WiFi,12,40.632333333,-8.659836667
MEO-WiFi,12,40.632391667,-8.659821667
MEO-WiFi,12,40.632453333,-8.659818333
MEO-WiFi,12,40.632496667,-8.659841667
