SSID,Signal,Latitude,Longitude
OPPO Reno 6 5G,14,40.632283333,-8.659491667
OPPO Reno 6 5G,14,40.632285,-8.659408333
OPPO Reno 6 5G,14,40.632285,-8.659298333
OPPO Reno 6 5G,14,40.632288333,-8.659286667
OPPO Reno 6 5G,14,40.632338333,-8.65941
OPPO Reno 6 5G,14,40.632356667,-8.65921
OPPO Reno 6 5G,14,40.632403333,-8.659406667
OPPO Reno 6 5G,14,40.63241,-8.659248333
OPPO Reno 6 5G,14,40.632481667,-8.659395
OPPO Reno 6 5G,14,40.632486667,-8.659301667
OPPO Reno 6 5G,14,40.632543333,-8.65936
OPPO Reno 6 5G,14,40.632545,-8.659455
