SSID,Signal,Latitude,Longitude
Redmi Note 12 Pro 5G,30,40.632023333,-8.659303333
Redmi Note 12 Pro 5G,30,40.632058333,-8.659353333
Redmi Note 12 Pro 5G,30,40.632086667,-8.659423333
Redmi Note 12 Pro 5G,30,40.632126667,-8.659475
Redmi Note 12 Pro 5G,30,40.632153333,-8.659488333
Redmi Note 12 Pro 5G,30,40.632211667,-8.659433333
Redmi Note 12 Pro 5G,30,40.632285,-8.659298333
Redmi Note 12 Pro 5G,30,40.632288333,-8.659286667
Redmi Note 12 Pro 5G,30,40.632356667,-8.65921
Redmi Note 12 Pro 5G,30,40.63241,-8.659248333
Redmi Note 12 Pro 5G,30,40.632486667,-8.659301667
Redmi Note 12 Pro 5G,30,40.632543333,-8.65936
