SSID,Signal,Latitude,Longitude
Redmi Note 9T,17,40.632283333,-8.659491667
Redmi Note 9T,17,40.632285,-8.659408333
Redmi Note 9T,17,40.632285,-8.659298333
Redmi Note 9T,17,40.632288333,-8.659286667
Redmi Note 9T,17,40.632338333,-8.65941
Redmi Note 9T,17,40.632356667,-8.65921
Redmi Note 9T,17,40.632403333,-8.659406667
Redmi Note 9T,17,40.63241,-8.659248333
Redmi Note 9T,17,40.632481667,-8.659395
Redmi Note 9T,17,40.632486667,-8.659301667
Redmi Note 9T,17,40.632543333,-8.65936
Redmi Note 9T,17,40.632545,-8.659455
