SSID,Signal,Latitude,Longitude
Sofi,49,40.631596667,-8.65945
Sofi,49,40.631656667,-8.659446667
Sofi,49,40.631721667,-8.65947
Sofi,49,40.63179,-8.659481667
Sofi,49,40.631921667,-8.659493333
Sofi,49,40.631976667,-8.659496667
Sofi,49,40.632028333,-8.659495
Sofi,49,40.632096667,-8.659496667
Sofi,49,40.632141667,-8.659506667
Sofi,49,40.632183333,-8.659561667
Sofi,30,40.63222,-8.659731667
Sofi,30,40.632265,-8.659788333
Sofi,42,40.632283333,-8.659491667
Sofi,42,40.632285,-8.659408333
Sofi,30,40.632333333,-8.659836667
Sofi,42,40.632338333,-8.65941
Sofi,54,40.632368333,-8.65967
Sofi,30,40.632391667,-8.659821667
Sofi,42,40.632403333,-8.659406667
Sofi,54,40.632428333,-8.659666667
Sofi,30,40.632453333,-8.659818333
Sofi,54,40.632473333,-8.659688333
Sofi,42,40.632481667,-8.659395
Sofi,30,40.632496667,-8.659841667
Sofi,54,40.632525,-8.659746667
Sofi,42,40.632545,-8.659455
