SSID,Signal,Latitude,Longitude
TP-LINK_BF82,15,40.632283333,-8.659491667
TP-LINK_BF82,15,40.632285,-8.659408333
TP-LINK_BF82,15,40.632285,-8.659298333
TP-LINK_BF82,15,40.632288333,-8.659286667
TP-LINK_BF82,15,40.632338333,-8.65941
TP-LINK_BF82,15,40.632356667,-8.65921
TP-LINK_BF82,15,40.632403333,-8.659406667
TP-LINK_BF82,15,40.63241,-8.659248333
TP-LINK_BF82,15,40.632481667,-8.659395
TP-LINK_BF82,15,40.632486667,-8.659301667
TP-LINK_BF82,15,40.632543333,-8.65936
TP-LINK_BF82,15,40.632545,-8.659455
