SSID,Signal,Latitude,Longitude
TP-Link_1832_5G,42,40.630776667,-8.658376667
TP-Link_1832_5G,42,40.630795,-8.658456667
TP-Link_1832_5G,42,40.630816667,-8.658288333
TP-Link_1832_5G,42,40.630861667,-8.65823
TP-Link_1832_5G,42,40.630868333,-8.658585
TP-Link_1832_5G,42,40.630905,-8.658175
TP-Link_1832_5G,42,40.630921667,-8.658643333
TP-Link_1832_5G,42,40.630945,-8.658115
TP-Link_1832_5G,42,40.630953333,-8.658718333
TP-Link_1832_5G,42,40.630978333,-8.658816667
TP-Link_1832_5G,42,40.631006667,-8.658866667
TP-Link_1832_5G,42,40.63103,-8.658946667
