SSID,Signal,Latitude,Longitude
Vodafone-46C8BD,17,40.630776667,-8.658376667
Vodafone-46C8BD,17,40.630795,-8.658456667
Vodafone-46C8BD,17,40.630816667,-8.658288333
Vodafone-46C8BD,17,40.630861667,-8.65823
Vodafone-46C8BD,17,40.630868333,-8.658585
Vodafone-46C8BD,17,40.630905,-8.658175
Vodafone-46C8BD,17,40.630921667,-8.658643333
Vodafone-46C8BD,17,40.630945,-8.658115
Vodafone-46C8BD,17,40.630953333,-8.658718333
Vodafone-46C8BD,17,40.630978333,-8.658816667
Vodafone-46C8BD,17,40.631006667,-8.658866667
Vodafone-46C8BD,17,40.63103,-8.658946667
