SSID,Signal,Latitude,Longitude
X,20,40.631921667,-8.659493333
X,20,40.631976667,-8.659496667
X,20,40.632028333,-8.659495
X,20,40.632096667,-8.659496667
X,20,40.632141667,-8.659506667
X,20,40.632183333,-8.659561667
X,20,40.63222,-8.659731667
X,20,40.632265,-8.659788333
X,20,40.632333333,-8.659836667
X,12,40.632368333,-8.65967
X,20,40.632391667,-8.659821667
X,12,40.632428333,-8.659666667
X,20,40.632453333,-8.659818333
X,12,40.632473333,-8.659688333
X,20,40.632496667,-8.659841667
X,12,40.632525,-8.659746667
