SSID,Signal,Latitude,Longitude
eduroam,45,40.630776667,-8.658376667
eduroam,45,40.630795,-8.658456667
eduroam,45,40.630816667,-8.658288333
eduroam,40,40.63084,-8.65953
eduroam,40,40.630858333,-8.659426667
eduroam,45,40.630861667,-8.65823
eduroam,50,40.630868333,-8.658585
eduroam,40,40.630876667,-8.659335
eduroam,40,40.630905,-8.659236667
eduroam,45,40.630905,-8.658175
eduroam,50,40.630921667,-8.658643333
eduroam,40,40.630938333,-8.659166667
eduroam,45,40.630945,-8.658115
eduroam,50,40.630953333,-8.658718333
eduroam,40,40.630965,-8.659073333
eduroam,50,40.630978333,-8.658816667
eduroam,50,40.631006667,-8.658866667
eduroam,50,40.63103,-8.658946667
eduroam,45,40.631066667,-8.658005
eduroam,45,40.631106667,-8.657991667
eduroam,45,40.631175,-8.658018333
eduroam,45,40.631228333,-8.658076667
eduroam,45,40.631271667,-8.65815
eduroam,45,40.631321667,-8.658205
eduroam,47,40.631391667,-8.658361667
eduroam,47,40.631416667,-8.65844
eduroam,47,40.631435,-8.6585
eduroam,47,40.631466667,-8.658575
eduroam,47,40.63151,-8.658651667
eduroam,47,40.631555,-8.658701667
eduroam,35,40.631596667,-8.65945
eduroam,35,40.631656667,-8.659446667
eduroam,44,40.631676667,-8.658835
eduroam,35,40.631721667,-8.65947
eduroam,44,40.631731667,-8.658891667
eduroam,35,40.63179,-8.659481667
eduroam,44,40.631795,-8.658941667
eduroam,44,40.631836667,-8.659031667
eduroam,44,40.631883333,-8.659113333
eduroam,44,40.631921667,-8.659493333
eduroam,44,40.631935,-8.659168333
eduroam,44,40.631976667,-8.659496667
eduroam,44,40.632023333,-8.659303333
eduroam,44,40.632028333,-8.659495
eduroam,44,40.632058333,-8.659353333
eduroam,44,40.632086667,-8.659423333
eduroam,44,40.632096667,-8.659496667
eduroam,44,40.632126667,-8.659475
eduroam,44,40.632141667,-8.659506667
eduroam,44,40.632153333,-8.659488333
eduroam,44,40.632183333,-8.659561667
eduroam,44,40.632211667,-8.659433333
eduroam,44,40.63222,-8.659731667
eduroam,44,40.632265,-8.659788333
eduroam,49,40.632283333,-8.659491667
eduroam,49,40.632285,-8.659408333
eduroam,74,40.632285,-8.659298333
eduroam,74,40.632288333,-8.659286667
eduroam,44,40.632333333,-8.659836667
eduroam,49,40.632338333,-8.65941
eduroam,74,40.632356667,-8.65921
eduroam,39,40.632368333,-8.65967
eduroam,44,40.632391667,-8.659821667
eduroam,49,40.632403333,-8.659406667
eduroam,74,40.63241,-8.659248333
eduroam,39,40.632428333,-8.659666667
eduroam,44,40.632453333,-8.659818333
eduroam,39,40.632473333,-8.659688333
eduroam,49,40.632481667,-8.659395
eduroam,74,40.632486667,-8.659301667
eduroam,44,40.632496667,-8.659841667
eduroam,39,40.632525,-8.659746667
eduroam,74,40.632543333,-8.65936
eduroam,49,40.632545,-8.659455
