SSID,Signal,Latitude,Longitude
nossacasa_5g,12,40.631391667,-8.658361667
nossacasa_5g,12,40.631416667,-8.65844
nossacasa_5g,12,40.631435,-8.6585
nossacasa_5g,12,40.631466667,-8.658575
nossacasa_5g,12,40.63151,-8.658651667
nossacasa_5g,12,40.631555,-8.658701667
nossacasa_5g,12,40.631676667,-8.658835
nossacasa_5g,12,40.631731667,-8.658891667
nossacasa_5g,12,40.631795,-8.658941667
nossacasa_5g,12,40.631836667,-8.659031667
nossacasa_5g,12,40.631883333,-8.659113333
nossacasa_5g,12,40.631935,-8.659168333
