SSID,Signal,Latitude,Longitude
torrinhas-testes2,24,40.634376667,-8.659341667
torrinhas-testes2,24,40.634381667,-8.659433333
torrinhas-testes2,24,40.634383333,-8.659373333
torrinhas-testes2,24,40.634386667,-8.659421667
torrinhas-testes2,24,40.63439,-8.659308333
torrinhas-testes2,24,40.634423333,-8.659328333
torrinhas-testes2,24,40.63444,-8.659338333
torrinhas-testes2,24,40.634473333,-8.65935
torrinhas-testes2,24,40.634483333,-8.659341667
torrinhas-testes2,24,40.634506667,-8.65926
torrinhas-testes2,22,40.63452,-8.659248333
torrinhas-testes2,22,40.634528333,-8.659225
