SSID,Signal,Latitude,Longitude
Claro,57,40.634381667,-8.659433333
adhoctest,55,40.634381667,-8.659433333
ATNoG,44,40.634381667,-8.659433333
rasp,42,40.634381667,-8.659433333
ATNoG,37,40.634381667,-8.659433333
eduroam,35,40.634381667,-8.659433333
eduroam,33,40.634381667,-8.659433333
eduroam,27,40.634381667,-8.659433333
eduroam,24,40.634381667,-8.659433333
eduroam,24,40.634381667,-8.659433333
LabCom331,19,40.634381667,-8.659433333
ATNoG,19,40.634381667,-8.659433333
ATNoG,19,40.634381667,-8.659433333
FH,17,40.634381667,-8.659433333
MEO-F5A530,17,40.634381667,-8.659433333
eduroam,17,40.634381667,-8.659433333
RF_LAB_JAM,14,40.634381667,-8.659433333
,14,40.634381667,-8.659433333
wifiSmartWagons733,12,40.634381667,-8.659433333
eduroam,12,40.634381667,-8.659433333
RF_LAB_JAM_5G,12,40.634381667,-8.659433333
eduroam,12,40.634381667,-8.659433333
,12,40.634381667,-8.659433333
,12,40.634381667,-8.659433333
eduroam,10,40.634381667,-8.659433333
ESAV,10,40.634381667,-8.659433333
FH,9,40.634381667,-8.659433333
eduroam,9,40.634381667,-8.659433333
Claro,57,40.634381667,-8.659433333
adhoctest,55,40.634381667,-8.659433333
ATNoG,44,40.634381667,-8.659433333
rasp,42,40.634381667,-8.659433333
ATNoG,37,40.634381667,-8.659433333
eduroam,35,40.634381667,-8.659433333
eduroam,33,40.634381667,-8.659433333
eduroam,27,40.634381667,-8.659433333
eduroam,24,40.634381667,-8.659433333
eduroam,24,40.634381667,-8.659433333
LabCom331,19,40.634381667,-8.659433333
ATNoG,19,40.634381667,-8.659433333
ATNoG,19,40.634381667,-8.659433333
FH,17,40.634381667,-8.659433333
MEO-F5A530,17,40.634381667,-8.659433333
eduroam,17,40.634381667,-8.659433333
RF_LAB_JAM,14,40.634381667,-8.659433333
,14,40.634381667,-8.659433333
wifiSmartWagons733,12,40.634381667,-8.659433333
eduroam,12,40.634381667,-8.659433333
RF_LAB_JAM_5G,12,40.634381667,-8.659433333
eduroam,12,40.634381667,-8.659433333
,12,40.634381667,-8.659433333
,12,40.634381667,-8.659433333
eduroam,10,40.634381667,-8.659433333
